rn_number,permit_number,publish_date,relative_file_location
RN101948248,19761,1-31-2006,data/MAERT/RN101948248_19761_1-31-2006_1711163963.pdf
RN102775418,24629,6-14-1994,data/MAERT/RN102775418_24629_6-14-1994_1713833301.pdf
RN100825249,228418,10-30-2015,data/MAERT/RN100825249_228418_10-30-2015_1712696619.pdf
RN100542844,18838,10-19-2006,data/MAERT/RN100542844_18838_10-19-2006_1712042979.pdf
RN102457520,43109,5-31-2000,data/MAERT/RN102457520_43109_5-31-2000_1712887561.pdf
RN100238708,95,12-21-2015,data/MAERT/RN100238708_95_12-21-2015_1714002413.pdf
RN100854108,81694,6-30-2009,data/MAERT/RN100854108_81694_6-30-2009_1712322803.pdf
RN100646447,9438,10-25-1996,data/MAERT/RN100646447_9438_10-25-1996_1712004028.pdf
RN104303029,72185,2-8-2005,data/MAERT/RN104303029_72185_2-8-2005_1712099375.pdf
RN100825363,9794,7-11-1996,data/MAERT/RN100825363_9794_7-11-1996_1713751374.pdf
RN102180486,4850,3-30-2015,data/MAERT/RN102180486_4850_3-30-2015_1713682881.pdf
RN101625721,19136,6-14-2000,data/MAERT/RN101625721_19136_6-14-2000_1712117806.pdf
RN102549706,21189,1-25-2006,data/MAERT/RN102549706_21189_1-25-2006_1713014349.pdf
RN102505963,19156,5-6-1999,data/MAERT/RN102505963_19156_5-6-1999_1712898751.pdf
RN100225945,1258,10-29-1993,data/MAERT/RN100225945_1258_10-29-1993_1713230905.pdf
RN101041598,3467B,7-11-2008,data/MAERT/RN101041598_3467B_7-11-2008_1713932369.pdf
RN100216472,5983,12-2-2005,data/MAERT/RN100216472_5983_12-2-2005_1713246804.pdf
RN104666342,17708,5-8-2019,data/MAERT/RN104666342_17708_5-8-2019_1712705118.pdf
RN100218072,9331,7-26-2005,data/MAERT/RN100218072_9331_7-26-2005_1713015900.pdf
RN106754989,110423,8-24-2016,data/MAERT/RN106754989_110423_8-24-2016_1713827735.pdf
RN101984821,6324,11-16-1995,data/MAERT/RN101984821_6324_11-16-1995_1711143241.pdf
RN102181526,3513A,2-24-1998,data/MAERT/RN102181526_3513A_2-24-1998_1711900654.pdf
RN100215169,22377,11-10-1997,data/MAERT/RN100215169_22377_11-10-1997_1711975547.pdf
RN100221134,5690A,7-21-1995,data/MAERT/RN100221134_5690A_7-21-1995_1713232207.pdf
RN102205846,7100,8-31-2010,data/MAERT/RN102205846_7100_8-31-2010_1713318669.pdf
RN102413457,24681,9-8-2009,data/MAERT/RN102413457_24681_9-8-2009_1711827947.pdf
RN100214022,9824A,8-28-2013,data/MAERT/RN100214022_9824A_8-28-2013_1713144335.pdf
RN110024916,171146,9-1-2023,data/MAERT/RN110024916_171146_9-1-2023_1711349124.pdf
RN106869258,112501,7-18-2014,data/MAERT/RN106869258_112501_7-18-2014_1711842735.pdf
RN100211093,53581,11-7-2008,data/MAERT/RN100211093_53581_11-7-2008_1712427314.pdf
RN102324191,6729,2-16-2006,data/MAERT/RN102324191_6729_2-16-2006_1712753042.pdf
RN100225689,83808,10-18-2011,data/MAERT/RN100225689_83808_10-18-2011_1712058031.pdf
RN100542711,1302,9-16-2004,data/MAERT/RN100542711_1302_9-16-2004_1713752419.pdf
RN100210319,114809,11-6-2020,data/MAERT/RN100210319_114809_11-6-2020_1711945742.pdf
RN102547601,8762,7-24-1996,data/MAERT/RN102547601_8762_7-24-1996_1712019966.pdf
RN100228196,20229,8-25-2006,data/MAERT/RN100228196_20229_8-25-2006_1713266797.pdf
RN100676683,73971,8-24-2015,data/MAERT/RN100676683_73971_8-24-2015_1713228222.pdf
RN102166758,37806,11-7-2008,data/MAERT/RN102166758_37806_11-7-2008_1713833765.pdf
RN101926830,21537,5-28-1998,data/MAERT/RN101926830_21537_5-28-1998_1713832107.pdf
RN101949345,42994,3-17-2000,data/MAERT/RN101949345_42994_3-17-2000_1713075793.pdf
RN102583143,38804,6-15-2009,data/MAERT/RN102583143_38804_6-15-2009_1712095468.pdf
RN102547312,4177,6-14-2005,data/MAERT/RN102547312_4177_6-14-2005_1711326443.pdf
RN100542711,1790,1-21-2003,data/MAERT/RN100542711_1790_1-21-2003_1713752595.pdf
RN102164522,52175,12-29-2003,data/MAERT/RN102164522_52175_12-29-2003_1714052658.pdf
RN100229012,42290,5-15-2001,data/MAERT/RN100229012_42290_5-15-2001_1711196023.pdf
RN100211879,21262,8-24-1994,data/MAERT/RN100211879_21262_8-24-1994_1712633778.pdf
RN100221589,22048,2-9-2012,data/MAERT/RN100221589_22048_2-9-2012_1712630800.pdf
RN100210814,7736,1-5-2001,data/MAERT/RN100210814_7736_1-5-2001_1712590240.pdf
RN101198059,18744,11-16-2016,data/MAERT/RN101198059_18744_11-16-2016_1712126577.pdf
RN102242609,29320,5-8-1996,data/MAERT/RN102242609_29320_5-8-1996_1711337734.pdf
RN104303110,72226,9-7-2004,data/MAERT/RN104303110_72226_9-7-2004_1712003975.pdf
RN101955391,24889,2-5-2015,data/MAERT/RN101955391_24889_2-5-2015_1713193872.pdf
RN100548759,49296,8-7-2012,data/MAERT/RN100548759_49296_8-7-2012_1712461144.pdf
RN102524600,27935,10-9-1997,data/MAERT/RN102524600_27935_10-9-1997_1711165599.pdf
RN100211093,2430,3-11-2005,data/MAERT/RN100211093_2430_3-11-2005_1712427232.pdf
